distribution,resnet_mse,pointnet_mse,random_mse
diagonal,0.023142480951077526,0.008694644515631166,1.5265890231350405
gaussian,0.19299464766117194,0.025195138647317667,1.3206704700544198
sierpinski,0.03255401456079417,0.01502080115913376,0.9655110367038366
uniform,0.03198882338171174,0.01626199427022782,1.33666264473692
bit,0.473818773377861,0.6348782259543312,1.1807701510502993
parcel,0.18567359935166192,0.19700949901513096,1.0404403956631145
weather,0.9950740963966705,1.0427133138703284,1.514536331083221
diagonal_large,0.06286754158228201,0.014691820862248342,1.4780031766062374
sierpinski_large,0.02326434053608281,0.013443297502649412,0.9765334805267407
gaussian_large,0.23821960607045964,0.03113181047672958,1.429256651084179
uniform_large,0.039434008281292156,0.026126862096693997,1.5188832364263682
