dist,resnet_time,pointnet_time,histogram_time,resnet+hist_time,ground_truth_total_time
uniform,0.0188506236076354,2.365233825683594,1.5900309085845918,1.6088815321922272,199.5440436289978
diagonal,0.0234045757055282,5.019488677978516,3.5048892498016295,3.528293825507158,521.8771008985748
gaussian,0.0050642880201339,2.3835537109375,1.5440664291381807,1.5491307171583146,338.2148747024078
sierpinski,0.0051970881223678,3.016406234741211,1.6062328815460174,1.6114299696683851,178.17353471942138
weather,0.0397723197937011,3.3896201171875,4.45069265365599,4.490464973449691,2051.310168897049
bit,0.0211266556978225,4.252449615478516,2.7330870628356885,2.754213718533511,542.1998299432067
parcel,0.0089081599712371,4.347988739013672,2.8251051902770947,2.834013350248332,398.92445591340635
uniform_large,0.0088894721269607,204.8632846679688,11.236555814743038,11.24544528687,2796.0004123377535
gaussian_large,0.0088961598873138,202.96230822753915,10.919000625610348,10.927896785497662,6749.554146355072
diagonal_large,0.0089071999788284,219.14258300781248,11.816762208938593,11.825669408917422,1756.7528885940246
sierpinski_large,0.0088876799345016,205.46946643066408,10.624925374984738,10.633813054919239,1659.9481487640687
