distributions,labels,resnet_wmape,pointnet_wmape,random_wmape,resnet_weather_wmape,pointnet_weather_wmape
weather,hotspots_16_min_val,0.399030184487594,0.21505692824554604,0.5659466033221271,0.06598042304544174,0.06577761252538972
weather,hotspots_16_min_x,0.46447357551063817,0.2204057014317506,0.4768859216576518,0.09832868792548233,0.08085427410864064
weather,hotspots_16_min_y,0.7219759204243775,0.323470824778814,0.7187387318310632,0.15616637997130198,0.12344590993107721
weather,hotspots_16_max_val,0.07485839672957573,0.04695299369584721,0.28023723775569714,0.02315423686093483,0.023540707122047824
weather,hotspots_16_max_x,0.613756381796914,0.4585583932138977,0.7215414483170551,0.2705827799997911,0.24033915618040833
weather,hotspots_16_max_y,0.27359732175811075,0.2694685998583243,0.5196778902662781,0.1694034047978743,0.15113875895252293
weather,hotspots_32_min_val,0.4006632346391227,0.24014500647558387,0.5258163698823057,0.03714286145765291,0.03970148711342593
weather,hotspots_32_min_x,0.4714434602286172,0.23194120484384328,0.4650262711810227,0.09789977762877301,0.08537593862423076
weather,hotspots_32_min_y,0.7040363921074577,0.37659827474966784,0.7045371893783179,0.1431010705498892,0.09153950233121791
weather,hotspots_32_max_val,0.0745404360291173,0.041218370140156634,0.2564224554682611,0.01435339635039172,0.014702107655528823
weather,hotspots_32_max_x,0.658440891066385,0.48167660356073017,0.7202779464705614,0.2650630783828017,0.24371526351208705
weather,hotspots_32_max_y,0.21211257102273587,0.25314370692344956,0.47069676534415966,0.12134315781566499,0.1117295652782651
weather,hotspots_64_min_val,0.4118384433952639,0.23295514607415463,0.49534246810248034,0.07047006621391873,0.0802417965931532
weather,hotspots_64_min_x,0.47805044525192475,0.23331989516317791,0.4624893972797257,0.11266691194641915,0.08826708956667205
weather,hotspots_64_min_y,0.672537509944003,0.37896656406089646,0.6534679094273377,0.13730443010377935,0.10456695143371307
weather,hotspots_64_max_val,0.07644590530907663,0.06580662015667266,0.2745901361888362,0.01946248127674473,0.02084224311836023
weather,hotspots_64_max_x,0.6717464424541589,0.49764289212308194,0.8182716610379168,0.27780877769884194,0.23764751193279515
weather,hotspots_64_max_y,0.1780085305721913,0.2993483994209241,0.4506718949758745,0.11172209143244081,0.10494920374902936
weather,k_values_0.025,1.235765186318388,0.6098339605564167,7.995222865090875,2.468781191432675,0.47061712878629547
weather,k_values_0.05,0.2972745067843618,0.7611435023733003,2.0225023028493565,0.43171783569666566,0.18767126420972643
weather,k_values_0.1,0.4934916099694777,0.7367349532664871,0.6062177838529896,0.22961963460068363,0.1608817740638534
weather,k_values_0.25,0.44154500671604596,0.24757713078006147,0.44412745491573996,0.17001564140937905,0.0470957041843289
weather,box_counts_e0,0.050307846888865165,0.11903827679193482,0.1865491688059631,0.019263531227776808,0.02500431922599567
weather,box_counts_e2,0.2994604790445358,0.641213009715189,0.4855651161551555,0.008963978562825303,0.014215700915411762
